,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
189,Timor,TLS,1648,1615,461,6226,4928,2363,835,3119,6703,34,9936,39655,25018,21236,173,1411,5,11164,60,14688,5885,3289,4275,143,5925,0,3528,10131,4308,9087,413,338,397200
190,Togo,TGO,26855,7137,1965,15414,160123,5130,11226,18494,179708,281,62009,163134,132028,156118,1034,11797,72,224470,964,69820,638,18997,20165,2795,14742,75,35797,28843,29818,50797,3893,3519,2915716
191,Tokelau,TKL,0,0,0,0,0,0,0,0,0,0,0,140,24,3,0,0,0,0,0,49,0,30,6,0,0,0,0,34,0,13,0,0,598
192,Tonga,TON,214,402,125,120,0,170,87,79,39,0,182,4613,1024,595,30,141,11,111,0,3292,0,1952,773,35,117,0,296,1251,560,1096,90,175,35160
193,Trinidad and Tobago,TTO,660,6467,1471,954,0,1623,8197,338,8442,168,738,103599,8278,6815,670,5119,23,963,30,45289,157,40399,11237,106,887,6,6227,6547,4717,11578,647,87,564878
194,Tunisia,TUN,3880,46040,9358,1057,0,6117,2721,3357,2289,2988,4740,769978,53421,79918,843,11250,95,4256,241,205035,489,32349,53081,3064,913,310,76230,61408,30958,49677,7278,2836,3052354
195,Turkey,TUR,32710,374548,71753,24559,179,29356,61032,21647,2970,5245,65510,4167835,476082,629097,5472,81642,20972,52514,1739,2154475,37414,484386,410468,15857,19318,5977,217882,733091,179133,332311,14509,25245,21509856
196,Turkmenistan,TKM,3466,11089,2110,658,12,10055,6628,1915,3950,1062,18010,438094,82139,44678,5519,12905,17,16771,2709,80874,1200,14135,15320,1539,298,3,12756,16561,48047,57210,6842,2759,1838662
197,Tuvalu,TUV,5,35,30,14,0,30,30,5,7,0,46,1120,179,94,0,60,0,50,0,345,0,264,108,0,14,0,80,248,60,120,18,0,5924
198,USSR,OWID_USS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,172
199,Uganda,UGA,179942,34155,8228,191830,1265629,22734,50983,56671,2102167,785,491292,632868,564036,949090,5467,51079,822,495526,4228,421210,23456,106337,72223,15581,187486,2373,135004,142817,122997,212761,17217,10912,17155812
200,Ukraine,UKR,17655,369800,93588,7895,0,169303,190094,3784,177144,45328,146512,13053052,236344,75146,303062,444127,316,3615,120391,3190335,9578,95725,57772,81011,3304,2261,285347,670421,509723,786889,95015,3175,42495424
201,United Arab Emirates,ARE,1087,1653,1182,170,0,3353,2157,283,1866,10129,2125,113217,9876,5347,1035,10612,0,1021,203,63641,2,16413,18201,688,95,1,64581,24193,6088,9201,3247,963,745260
202,United Kingdom,GBR,11589,760163,178912,5004,0,10099,14156,1761,11315,60456,15093,6603062,1241986,61675,38289,171611,408,35655,5628,5182471,1646,194851,169923,5965,2994,567,114375,1293421,243170,829566,15676,680,34564334
203,United States,USA,40032,3302609,661288,133044,0,114752,596818,25206,528417,800798,38127,26438346,2248625,429516,309757,1168886,10712,199602,40402,18905315,12506,2030631,2018497,40259,121030,3535,1359744,4949052,1514325,3026943,126712,5851,142402674
204,United States Virgin Islands,VIR,13,589,260,97,0,181,973,21,333,69,30,10542,552,314,303,248,19,30,25,6766,0,1674,1027,12,93,0,523,642,794,1331,51,0,55024
205,Uruguay,URY,1399,33199,8336,3202,0,3362,5354,433,4365,276,2664,316537,39468,10213,2579,17501,23,3970,191,272842,3,22890,21596,570,2547,1,17244,55096,15006,43043,1995,68,1811946
206,Uzbekistan,UZB,16674,41265,13633,3497,48,66631,28015,6896,12309,3456,95035,2749832,475207,232126,14820,83791,117,35431,4880,505008,855,137009,105239,10519,755,68,120419,146544,288771,341410,29237,12185,11163364
207,Vanuatu,VUT,191,331,227,361,1247,752,75,232,248,28,1071,16362,2803,2385,73,1171,177,1928,30,4143,0,2032,1164,57,356,0,1485,3751,1100,2047,93,103,92046
208,Venezuela,VEN,11615,108735,18573,22554,3726,20273,266071,12739,46090,1664,23568,1158991,124366,154484,5824,57960,31025,61658,268,641727,1047,175790,161667,2607,21347,110,175036,122198,91720,168365,4949,1109,7395712
209,Vietnam,VNM,38559,369363,83322,48613,17311,214356,47981,13167,148838,19959,729683,5323920,639832,449614,20059,197601,12526,109700,2967,2156232,98,544222,396874,34681,7366,1,594980,911787,527192,735817,17380,30650,28889302
210,Wallis and Futuna,WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Western Sahara,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Yemen,YEM,21095,31045,7188,68939,143463,27994,17918,53611,6276,3718,32460,1110837,259044,729558,1590,29882,1131,419051,1049,234015,95610,30812,52119,12561,66731,8776,278327,126525,64136,111536,23871,26532,8194800
214,Yugoslavia,OWID_YGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,226
215,Zambia,ZMB,98886,13473,4054,95913,205529,12809,30065,28395,1175563,933,275391,360770,345855,300479,2677,29216,73,348764,2451,198742,159,54098,41751,9056,92915,21,56976,59173,100581,147640,9476,8846,8221460
216,Zimbabwe,ZWE,41238,20017,5764,66723,118728,18169,32741,29802,1836042,2271,273844,408352,326145,251875,1246,51763,1247,140850,978,272787,625,71175,49952,9113,65942,27,67207,71774,55027,108691,14718,3778,8837222
