,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
109,Luxembourg,LUX,48,4564,1263,158,0,97,212,10,131,438,79,41754,3364,278,664,2030,2,310,30,33867,1,1831,2471,36,146,0,1515,5729,2781,5812,95,0,219432
110,Madagascar,MDG,81655,18593,4612,260158,202088,15133,11761,75125,34991,849,344136,773591,488612,386736,3324,33836,2072,640290,3720,230677,1343,59912,42875,10727,252909,31,72953,149271,105287,159999,11569,6929,8971528
111,Malawi,MWI,107433,19156,4515,113304,404288,14016,9142,39029,1265348,716,274335,371555,380042,393356,2825,28814,953,413051,2442,226599,92,58163,41137,9509,109606,33,55753,62074,99983,151852,10228,12214,9363126
112,Malaysia,MYS,10204,64618,16274,5563,1437,21733,16974,9806,49843,2393,64779,1194056,336632,58843,4559,38809,794,31782,371,570533,123,90231,113850,5519,5275,18,178875,183160,94730,202459,7393,6003,6775278
113,Maldives,MDV,84,641,180,301,0,691,182,383,12,27,766,11463,859,3814,30,392,102,627,0,4030,0,993,1686,0,236,1,554,3024,660,1023,140,37,65876
114,Mali,MLI,189707,23893,6495,304544,711087,24627,37790,80995,137382,319,174546,423975,387730,747229,2066,19059,124,579172,3140,191446,32775,55390,56761,13283,297954,1432,61404,103596,85878,148239,17049,15178,9868530
115,Malta,MLT,77,3887,1043,30,0,137,171,16,74,171,43,39696,4352,474,77,689,1,51,30,23644,3,3133,2328,30,17,3,674,3866,1188,3188,64,0,178314
116,Marshall Islands,MHL,49,67,49,61,0,183,120,60,56,0,264,3454,666,505,27,341,0,279,0,1125,0,696,345,0,58,0,311,706,262,457,30,15,20372
117,Martinique,MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Mauritania,MRT,10642,6830,1790,13719,26053,1721,4872,18876,1142,105,20346,95870,64681,75578,438,3891,76,85902,389,44019,156,13766,14862,1070,13157,39,25652,14363,17690,29856,1677,1105,1220666
119,Mauritius,MUS,324,5838,1221,383,0,1264,949,250,1273,254,464,94929,8047,5335,2024,3994,31,967,21,30641,0,30978,21994,78,358,0,5315,13393,8917,12375,1076,34,505454
120,Mexico,MEX,24956,403107,87040,269731,218,93275,554972,42091,147499,13283,113769,3244515,643772,734235,129387,158347,4593,273613,5348,2134942,1333,1328966,1182693,18046,234785,677,597433,771520,985079,1483060,31896,7297,31442956
