"Unités - données"

Période;"janv-83";"févr-83";"mars-83";"avr-83";"mai-83";"juin-83";"juil-83";"août-83";"sept-83";"oct-83";"nov-83";"déc-83";"janv-84";"févr-84";"mars-84";"avr-84";"mai-84";"juin-84";"juil-84";"août-84";"sept-84";"oct-84";"nov-84";"déc-84";"janv-85";"févr-85";"mars-85";"avr-85";"mai-85";"juin-85";"juil-85";"août-85";"sept-85";"oct-85";"nov-85";"déc-85";"janv-86";"févr-86";"mars-86";"avr-86";"mai-86";"juin-86";"juil-86";"août-86";"sept-86";"oct-86";"nov-86";"déc-86";"janv-87";"févr-87";"mars-87";"avr-87";"mai-87";"juin-87";"juil-87";"août-87";"sept-87";"oct-87";"nov-87";"déc-87";"janv-88";"févr-88";"mars-88";"avr-88";"mai-88";"juin-88";"juil-88";"août-88";"sept-88";"oct-88";"nov-88";"déc-88";"janv-89";"févr-89";"mars-89";"avr-89";"mai-89";"juin-89";"juil-89";"août-89";"sept-89";"oct-89";"nov-89";"déc-89";"janv-90";"févr-90";"mars-90";"avr-90";"mai-90";"juin-90";"juil-90";"août-90";"sept-90";"oct-90";"nov-90";"déc-90";"janv-91";"févr-91";"mars-91";"avr-91";"mai-91";"juin-91";"juil-91";"août-91";"sept-91";"oct-91";"nov-91";"déc-91";"janv-92";"févr-92";"mars-92";"avr-92";"mai-92";"juin-92";"juil-92";"août-92";"sept-92";"oct-92";"nov-92";"déc-92";"janv-93";"févr-93";"mars-93";"avr-93";"mai-93";"juin-93";"juil-93";"août-93";"sept-93";"oct-93";"nov-93";"déc-93";"janv-94";"févr-94";"mars-94";"avr-94";"mai-94";"juin-94";"juil-94";"août-94";"sept-94";"oct-94";"nov-94";"déc-94";"janv-95";"févr-95";"mars-95";"avr-95";"mai-95";"juin-95";"juil-95";"août-95";"sept-95";"oct-95";"nov-95";"déc-95";"janv-96";"févr-96";"mars-96";"avr-96";"mai-96";"juin-96";"juil-96";"août-96";"sept-96";"oct-96";"nov-96";"déc-96";"janv-97";"févr-97";"mars-97";"avr-97";"mai-97";"juin-97";"juil-97";"août-97";"sept-97";"oct-97";"nov-97";"déc-97";"janv-98";"févr-98";"mars-98";"avr-98";"mai-98";"juin-98";"juil-98";"août-98";"sept-98";"oct-98";"nov-98";"déc-98";"janv-99";"févr-99";"mars-99";"avr-99";"mai-99";"juin-99";"juil-99";"août-99";"sept-99";"oct-99";"nov-99";"déc-99";"janv-00";"févr-00";"mars-00";"avr-00";"mai-00";"juin-00";"juil-00";"août-00";"sept-00";"oct-00";"nov-00";"déc-00";"janv-01";"févr-01";"mars-01";"avr-01";"mai-01";"juin-01";"juil-01";"août-01";"sept-01";"oct-01";"nov-01";"déc-01";"janv-02";"févr-02";"mars-02";"avr-02";"mai-02";"juin-02";"juil-02";"août-02";"sept-02";"oct-02";"nov-02";"déc-02";"janv-03";"févr-03";"mars-03";"avr-03";"mai-03";"juin-03";"juil-03";"août-03";"sept-03";"oct-03";"nov-03";"déc-03";"janv-04";"févr-04";"mars-04";"avr-04";"mai-04";"juin-04";"juil-04";"août-04";"sept-04";"oct-04";"nov-04";"déc-04";"janv-05";"févr-05";"mars-05";"avr-05";"mai-05";"juin-05";"juil-05";"août-05";"sept-05";"oct-05";"nov-05";"déc-05";"janv-06";"févr-06";"mars-06";"avr-06";"mai-06";"juin-06";"juil-06";"août-06";"sept-06";"oct-06";"nov-06";"déc-06";"janv-07";"févr-07";"mars-07";"avr-07";"mai-07";"juin-07";"juil-07";"août-07";"sept-07";"oct-07";"nov-07";"déc-07";"janv-08";"févr-08";"mars-08";"avr-08";"mai-08";"juin-08";"juil-08";"août-08";"sept-08";"oct-08";"nov-08";"déc-08";"janv-09";"févr-09";"mars-09";"avr-09";"mai-09";"juin-09";"juil-09";"août-09";"sept-09";"oct-09";"nov-09";"déc-09";"janv-10";"févr-10";"mars-10";"avr-10";"mai-10";"juin-10";"Juil-10";"août-10";"sept-10";"oct-10";"nov-10";"déc-10";"janv-11";"févr-11";"mars-11";"avr-11";"mai-11";"juin-11";"Juil-11";"août-11";"sept-11";"oct-11";"nov-11";"déc-11";"janv-12";"févr-12";"mars-12";"avr-12";"mai-12";"juin-12";"Juil-12";"août-12";"sept-12";"oct-12";"nov-12";"déc-12";"janv-13";"févr-13";"mars-13";"avr-13";"mai-13";"juin-13";"Juil-13";"août-13";"sept-13";"oct-13";"nov-13";"déc-13";"janv-14";"févr-14";"mars-14";"avr-14";"mai-14";"juin-14";"juil-14";"août-14";"sept-14";"oct-14";"nov-14";"déc-14";"janv-15";"févr-15";"mars-15";"avr-15";"mai-15";"juin-15";"juil-15";"août-15";"sept-15";"oct-15";"nov-15";"déc-15";"janv-16";"févr-16";"mars-16";"avr-16";"mai-16";"juin-16";"juil-16";"août-16";"sept-16";"oct-16";"nov-16";"déc-16";"janv-17";"févr-17";"mars-17";"avr-17";"mai-17";"juin-17";"juil-17";"août-17";"sept-17";"oct-17";"nov-17";"déc-17";"janv-18";"févr-18";"mars-18";"avr-18";"mai-18";"juin-18";"juil-18";"août-18";"sept-18";"oct-18";"nov-18";"déc-18";"janv-19";"févr-19";"mars-19";"avr-19";"mai-19";"juin-19";"juil-19";"août-19";"sept-19";"oct-19";"nov-19";"déc-19";"janv-20";"févr-20";"mars-20";"avr-20";"mai-20";"juin-20";"juil-20";"août-20";"sept-20";"oct-20";"nov-20";"déc-20";"janv-21";"févr-21";"mars-21";"avr-21";"mai-21";"juin-21";"juil-21";"août-21";"sept-21"
"Libelle";
"Tarif d'une tonne de propane en citerne";566.34;556.23;556.23;576.4500000000001;586.5700000000001;586.5700000000001;586.5700000000001;586.5700000000001;606.79;606.79;606.79;606.79;637.13;637.13;637.13;616.91;616.91;616.91;627.02;627.02;627.02;627.02;657.36;657.36;657.36;667.47;687.7000000000001;687.7000000000001;667.47;667.47;657.36;657.36;637.13;637.13;637.13;647.24;647.24;627.02;596.68;546.11;505.66;495.55;495.55;495.55;495.55;495.55;495.55;495.55;495.55;515.77;515.77;505.66;505.66;505.66;485.43;485.43;515.77;546.11;546.11;546.11;546.11;546.11;525.89;525.89;525.89;525.89;525.89;525.89;525.89;525.89;525.89;525.89;525.89;505.66;505.66;505.66;505.66;525.89;525.89;515.77;515.77;515.77;525.89;566.34;566.34;566.34;566.34;566.34;566.34;566.34;536;536;637.13;677.58;677.58;677.58;707.92;707.92;687.7000000000001;647.24;596.68;616.91;616.91;616.91;616.91;616.91;647.24;647.24;687.7000000000001;677.58;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;616.91;616.91;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;637.13;686.081;733.8754;723.0830999999999;723.0830999999999;723.0830999999999;723.0830999999999;723.0830999999999;726.1666;726.1666;726.1666;726.1666;726.1666;743.1259;749.2929;749.2929;749.2929;749.2929;749.2929;749.2929;749.2929;749.2929;795.5456;795.5456;854.1322;854.1322;854.1322;869.5498;855.674;855.674;855.674;855.674;855.674;855.674;909.6354;909.6354;909.6354;909.6354;909.6354;909.6354;909.6354;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;847.9652;786.295;786.295;786.295;786.295;797.0873;797.0873;797.0873;797.0873;1009.8495;1009.8495;1009.8495;1009.8495;1009.8495;926.5947;926.5947;926.5947;1017.5583;1017.5583;1017.5583;1017.5583;983.6397;983.6397;983.6397;983.6397;983.6397;881.8838;881.8838;881.8838;881.8838;849.513;849.513;849.513;981.9965;981.9965;981.9965;965.8153;965.8153;965.8153;1004.2457;1004.2457;1004.2457;1063.9139;1063.9139;1063.9139;1112.4575;1112.4575;1112.4575;1004.2457;1004.2457;1004.2457;1016.3816;1016.3816;1016.3816;1035.5968;1035.5968;1035.5968;1035.5968;1035.5968;1035.5968;1082.1177;1082.1177;1082.1177;1163.0237;1163.0237;1163.0237;1244.941;1244.941;1244.941;1232.8051;1232.8051;1232.8051;1197.4087;1197.4087;1197.4087;1253.0316;1253.0316;1253.0316;1320.7904;1320.7904;1320.7904;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1382.4812;1409.787;1409.787;1409.787;1509.69;1525.94;1525.94;1525.94;1550.69;1565.64;1615.59;1640.59;1640.59;1633.19;1590.69;1498.29;1480.79;1448.29;1383.34;1353.39;1328.39;1315.89;1315.89;1315.89;1302.14;1354.59;1384.49;1401.99;1449.39;1519.39;1427.14;1427.14;1402.14;1402.14;1419.64;1419.64;1419.64;1486.84;1501.79;1591.13;1591.13;1641.13;1641.13;1694.13;1669.13;1669.13;1669.13;1669.13;1669.13;1710.13;1710.13;1710.13;1710.13;1740.03;1787.43;1799.71;1787.21;1757.31;1729.81;1759.71;1789.61;1857.43;1887.33;1887.33;1874.93;1874.93;1874.93;1870.93;1773.03;1794.47;1794.47;1794.47;1794.47;1806.97;1806.97;1806.97;1909.05;1909.05;1909.05;1927.55;1915.05;1915.05;1915.05;1915.05;1915.05;1915.05;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"100 kWh PCI de propane en citerne";4.43;4.39;4.36;4.55;4.58;4.58;4.6;4.6;4.71;4.71;4.71;4.71;5;5;5;4.83;4.83;4.83;4.89;4.89;4.94;4.94;5.11;5.11;5.11;5.23;5.39;5.39;5.19;5.19;5.17;5.17;5.03;5.03;5.03;5.04;5.04;4.92;4.63;4.29;4;3.86;3.86;3.86;3.86;3.86;3.86;3.86;3.86;4.08;4.08;3.93;3.93;3.93;3.83;3.83;4.06;4.32;4.32;4.32;4.32;4.32;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;3.97;3.97;3.97;3.97;4.11;4.11;4.01;4.01;4.01;4.14;4.41;4.41;4.41;4.41;4.41;4.41;4.41;4.2;4.2;4.95;5.31;5.31;5.31;5.57;5.57;5.36;5.07;4.65;4.86;4.86;4.86;4.86;4.86;5.09;5.09;5.4;5.3;4.97;4.97;4.97;4.97;4.97;4.97;4.97;4.97;4.97;4.97;4.84;4.84;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;4.96;5.3267;5.6978;5.614;5.614;5.614;5.614;5.614;5.6379;5.6379;5.6379;5.6379;5.6379;5.7696;5.8175;5.8175;5.8175;5.8175;5.8175;5.8175;5.8175;5.8175;6.1766;6.1766;6.6315;6.6315;6.6315;6.7512;6.6434;6.6434;6.6434;6.6434;6.6434;6.6434;7.0624;7.0624;7.0624;7.0624;7.0624;7.0624;7.0624;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.5836;6.1048;6.1048;6.1048;6.1048;6.1886;6.1886;6.1886;6.1886;7.8405;7.8405;7.8405;7.8405;7.8405;7.1941;7.1941;7.1941;7.9003;7.9003;7.9003;7.9003;7.637;7.637;7.637;7.637;7.637;6.8469;6.8469;6.8469;6.8469;6.5956;6.5956;6.5956;7.6242;7.6242;7.6242;7.4986;7.4986;7.4986;7.7969;7.7969;7.7969;8.260199999999999;8.260199999999999;8.260199999999999;8.6371;8.6371;8.6371;7.7969;7.7969;7.7969;7.8912;7.8912;7.8912;8.0404;8.0404;8.0404;8.0404;8.0404;8.0404;8.4015;8.4015;8.4015;9.0297;9.0297;9.0297;9.665699999999999;9.665699999999999;9.665699999999999;9.5715;9.5715;9.5715;9.2967;9.2967;9.2967;9.7285;9.7285;9.7285;10.2546;10.2546;10.2546;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.7336;10.9456;10.9456;10.9456;11.7212;11.8474;11.8474;11.8474;12.0395;12.1556;12.5434;12.7375;12.7375;12.6801;12.3501;11.6327;11.4968;11.2445;10.7402;10.5077;10.3136;10.2165;10.2165;10.2165;10.1098;10.517;10.7492;10.885;11.253;11.7965;11.0803;11.0803;10.8862;10.8862;11.0221;11.0221;11.0221;11.5438;11.6599;12.3535;12.3535;12.7417;12.7417;13.1532;12.9591;12.9591;12.9591;12.9591;12.9591;13.2774;13.2774;13.2774;13.2774;13.5096;13.8776;13.9729;13.8759;13.6437;13.4302;13.6623;13.8945;14.421;14.6532;14.6532;14.5569;14.5569;14.5569;14.5259;13.7658;13.9322;13.9322;13.9322;13.9322;14.0293;14.0293;14.0293;14.8218;14.8218;14.8218;14.9655;14.8684;14.8684;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Prix d'une tonne de propane";522.2131000000001;512.8908;512.8908;531.5353;540.8668;540.8668;540.8668;540.8668;559.5114;559.5114;559.5114;559.5114;587.4874;587.4874;587.4874;568.8428;568.8428;568.8428;578.1651000000001;578.1651000000001;578.1651000000001;578.1651000000001;606.1411000000001;606.1411000000001;606.1411000000001;615.4634;634.1172;634.1172;615.4634;615.4634;606.1411000000001;606.1411000000001;587.4874;587.4874;587.4874;596.8096000000001;596.8096000000001;578.1651000000001;550.1891000000001;503.5593;466.261;456.9387;456.9387;456.9387;456.9387;456.9387;456.9387;456.9387;456.9387;475.5833;475.5833;466.261;466.261;466.261;447.6072;447.6072;475.5833;503.5593;503.5593;503.5593;503.5593;503.5593;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;484.9148;466.261;466.261;466.261;466.261;484.9148;484.9148;475.5833;475.5833;475.5833;484.9148;522.2131000000001;522.2131000000001;522.2131000000001;522.2131000000001;522.2131000000001;522.2131000000001;522.2131000000001;494.237;494.237;587.4874;624.7857;624.7857;624.7857;652.7617;652.7617;634.1172;596.8096000000001;550.1891000000001;568.8428;568.8428;568.8428;568.8428;568.8428;596.8096000000001;596.8096000000001;634.1172;624.7857;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;568.8428;568.8428;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;587.4874;632.6243;676.6947;666.7433;666.7433;666.7433;666.7433;666.7433;669.5866;669.5866;669.5866;669.5866;669.5866;685.2245;690.9109999999999;690.9109999999999;690.9109999999999;690.9109999999999;690.9109999999999;690.9109999999999;690.9109999999999;690.9109999999999;733.5598;733.5598;787.5817;787.5817;787.5817;801.7979;789.0033;789.0033;789.0033;789.0033;789.0033;789.0033;838.7603;838.7603;838.7603;838.7603;838.7603;838.7603;838.7603;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;781.8952000000001;725.0301;725.0301;725.0301;725.0301;734.9815;734.9815;734.9815;734.9815;931.1661;931.1661;931.1661;931.1661;931.1661;854.3982;854.3982;854.3982;938.2742;938.2742;938.2742;938.2742;906.9984;906.9984;906.9984;906.9984;906.9984;813.1710000000001;813.1710000000001;813.1710000000001;813.1710000000001;783.3223;783.3223;783.3223;905.4833;905.4833;905.4833;890.5629;890.5629;890.5629;925.9989000000001;925.9989000000001;925.9989000000001;981.0179000000001;981.0179000000001;981.0179000000001;1025.7792;1025.7792;1025.7792;925.9989000000001;925.9989000000001;925.9989000000001;937.1892;937.1892;937.1892;954.9072;954.9072;954.9072;954.9072;954.9072;954.9072;997.8034;997.8034;997.8034;1072.4055;1072.4055;1072.4055;1147.9402;1147.9402;1147.9402;1136.7499;1136.7499;1136.7499;1104.1114;1104.1114;1104.1114;1155.4004;1155.4004;1155.4004;1217.8797;1217.8797;1217.8797;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1274.7638;1299.942;1299.942;1299.942;1392.061;1407.0449;1407.0449;1407.0449;1429.8664;1443.6516;1489.7097;1512.7618;1512.7618;1505.9384;1466.7498;1381.5492;1365.4128;1335.445;1275.5557;1247.9393;1224.8872;1213.3611;1213.3611;1213.3611;1200.6825;1249.0458;1276.6161;1292.7525;1336.4593;1401.0052;1315.943;1315.943;1292.8909;1292.8909;1309.0273;1309.0273;1309.0273;1370.9914;1384.7765;1467.1555;1467.1555;1513.2597;1513.2597;1562.1302;1539.0781;1539.0781;1539.0781;1539.0781;1539.0781;1576.8835;1576.8835;1576.8835;1576.8835;1604.4538;1648.1606;1659.4838;1647.9577;1620.3874;1595.0301;1622.6004;1650.1707;1712.7065;1740.2768;1740.2768;1728.8497;1740.655;1746.5576;1719.7135;1642.6263;1644.1759;1639.0362;1639.4703;1634.2828;1647.9468;1638.5453;1688.6974;1726.1976;1727.6006;1730.7688;1707.1324;1683.3687;1686.7017;1686.251;1702.4973;1715.1803;1729.7129;1703.9509;1665.5943;1633.36;1633.3455;1647.7438;1626.3279;1587.9627;1565.77;1561.5826;1594.7591;1601.7707;1561.1924;1563.302;1557.4955;1564.7341;1545.2885;1549.3852;1517.1602;1528.0376;1493.1308;1509.4368;1507.8248;1495.0512;1492.1945;1469.9301;1537.2289;1582.1335;1608.2591;1605.2557;1597.9955;1635.1075;1652.2338;1691.6921;1663.2613;1701.8424;1774.9691;1743.8792;1747.3685;1779.9084;1776.9197;1804.5128;1840.1891;1822.501;1822.0916;1832.8019;1863.6048;1818.0754;1882.8633;1892.4879;1893.2415;1914.6535;1921.5998;1889.3411;1906.1401;1907.4817;1915.6627;1927.4686;1917.2404;1957.3797;1910.1409;1867.8935;1850.3367;1849.2064;1867.609;1882.0582;1896.2243;1865.2747;1835.1366;1866.1941;1853.678;1864.0596;1874.3926;1851.0749;1872.4482;1859.8505;1881.1189;1887.3258;1888.6143;1886.6555;1809.2635;1899.858;1808.0997;"-"
"100 kWh PCS de propane";3.7842;3.7166;3.7166;3.8517;3.9193;3.9193;3.9193;3.9193;4.0544;4.0544;4.0544;4.0544;4.2572;4.2572;4.2572;4.1221;4.1221;4.1221;4.1896;4.1896;4.1896;4.1896;4.3923;4.3923;4.3923;4.4599;4.5951;4.5951;4.4599;4.4599;4.3923;4.3923;4.2572;4.2572;4.2572;4.3247;4.3247;4.1896;3.9869;3.649;3.3787;3.3112;3.3112;3.3112;3.3112;3.3112;3.3112;3.3112;3.3112;3.4463;3.4463;3.3787;3.3787;3.3787;3.2435;3.2435;3.4463;3.649;3.649;3.649;3.649;3.649;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.5139;3.3787;3.3787;3.3787;3.3787;3.5139;3.5139;3.4463;3.4463;3.4463;3.5139;3.7842;3.7842;3.7842;3.7842;3.7842;3.7842;3.7842;3.5814;3.5814;4.2572;4.5274;4.5274;4.5274;4.7302;4.7302;4.5951;4.3247;3.9869;4.1221;4.1221;4.1221;4.1221;4.1221;4.3247;4.3247;4.5951;4.5274;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.1221;4.1221;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.2572;4.5842;4.9036;4.8315;4.8315;4.8315;4.8315;4.8315;4.8521;4.8521;4.8521;4.8521;4.8521;4.9654;5.0066;5.0066;5.0066;5.0066;5.0066;5.0066;5.0066;5.0066;5.3157;5.3157;5.7071;5.7071;5.7071;5.8101;5.7174;5.7174;5.7174;5.7174;5.7174;5.7174;6.078;6.078;6.078;6.078;6.078;6.078;6.078;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.6659;5.2538;5.2538;5.2538;5.2538;5.326;5.326;5.326;5.326;6.7476;6.7476;6.7476;6.7476;6.7476;6.1913;6.1913;6.1913;6.7991;6.7991;6.7991;6.7991;6.5725;6.5725;6.5725;6.5725;6.5725;5.8925;5.8925;5.8925;5.8925;5.6763;5.6763;5.6763;6.5615;6.5615;6.5615;6.4534;6.4534;6.4534;6.7101;6.7101;6.7101;7.1088;7.1088;7.1088;7.4332;7.4332;7.4332;6.7101;6.7101;6.7101;6.7912;6.7912;6.7912;6.9196;6.9196;6.9196;6.9196;6.9196;6.9196;7.2305;7.2305;7.2305;7.7711;7.7711;7.7711;8.318400000000001;8.318400000000001;8.318400000000001;8.237299999999999;8.237299999999999;8.237299999999999;8.0008;8.0008;8.0008;8.372500000000001;8.372500000000001;8.372500000000001;8.825200000000001;8.825200000000001;8.825200000000001;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.237399999999999;9.4199;9.4199;9.4199;10.0874;10.196;10.196;10.196;10.3614;10.4612;10.795;10.962;10.962;10.9126;10.6286;10.0112;9.894299999999999;9.677099999999999;9.2432;9.042999999999999;8.875999999999999;8.7925;8.7925;8.7925;8.7006;9.0511;9.2508;9.367800000000001;9.6845;10.1522;9.5358;9.5358;9.3688;9.3688;9.4857;9.4857;9.4857;9.934699999999999;10.0346;10.6316;10.6316;10.9657;10.9657;11.3198;11.1527;11.1527;11.1527;11.1527;11.1527;11.4267;11.4267;11.4267;11.4267;11.6265;11.9432;12.0253;11.9417;11.7419;11.5582;11.758;11.9578;12.4109;12.6107;12.6107;12.5279;12.6134;12.6562;12.4617;11.9031;11.9143;11.8771;11.8802;11.8426;11.9416;11.8735;12.2369;12.5087;12.5189;12.5418;12.3705;12.1983;12.2225;12.2192;12.3369;12.4288;12.5342;12.3475;12.0695;11.8359;11.8358;11.9402;11.785;11.507;11.3462;11.3158;11.5562;11.607;11.313;11.3283;11.2862;11.3387;11.1977;11.2274;10.9939;11.0727;10.8198;10.938;10.9263;10.8337;10.813;10.6517;11.1393;11.4647;11.6541;11.6323;11.5797;11.8486;11.9727;12.2586;12.0526;12.3322;12.8621;12.6368;12.6621;12.8979;12.8762;13.0762;13.3347;13.2065;13.2036;13.2812;13.5044;13.1745;13.6439;13.7137;13.7191;13.8743;13.9246;13.6909;13.8126;13.8223;13.8816;13.9672;13.8931;14.1839;13.8416;13.5355;13.4082;13.4001;13.5334;13.6381;13.7408;13.5165;13.2981;13.5232;13.4325;13.5077;13.5826;13.4136;13.5685;13.4772;13.6313;13.6763;13.6856;13.6714;13.1106;13.7671;13.1022;"-"
